standard,lemma,postag
orchard,orchard,n1
Please,please,vvb
it,it,pn
your,your,po
Honor,honour,n1
knock,knock,vvb
but,but,acp-av
at,at,acp-p
the,the,d
gate,gate,n1
And,and,cc
he,he,pns
himself,himself,px
will,will,vmb
answer,answer,vvi
Enter,,
the,,
Earl,,
Northumberland,,
his,,
head,,
wrapped,,
in,,
a,,
kerchief,,
and,,
supporting,,
himself,,
with,,
a,,
crutch,,
LORD,,
BARDOLPH,,
Here,here,av
comes,come,vvz
the,the,d
Earl,earl,n1
Porter,,
exits,,
NORTHUMBERLAND,,
What,what,crq-q
news,news,n1
Lord,lord,n1
Bardolph,Bardolph,n1-nn
Every,every,d
minute,minute,n1
now,now,av
Should,shall,vmd
be,be,vvi
the,the,d
father,father,n1
of,of,acp-p
some,some,d
stratagem,stratagem,n1
The,the,d
times,time,n2
are,be,vvb
wild,wild,j
Contention,contention,n1
like,like,acp-p
a,a,d
horse,horse,n1
Full,full,j
of,of,acp-p
high,high,j
feeding,feed,n1_vg
madly,mad,av_j
hath,have,vvz
broke,break,vvn
loose,loose,j
And,and,cc
bears,bear,vvz
down,down,acp-av
all,all,d
before,before,acp-p
him,he,pno
LORD,,
BARDOLPH,,
Noble,noble,j
earl,earl,n1
I,i,pns
bring,bring,vvb
you,you,pn
certain,certain,j
news,news,n1
from,from,acp-p
Shrewsbury,Shrewsbury,n1-nn
NORTHUMBERLAND,,
Good,good,j
an,an,cs
God,God,n1-nn
will,will,vmb
LORD,,
BARDOLPH,,
As,as,acp-av
good,good,j
as,as,acp-cs
heart,heart,n1
can,can,vmb
wish,wish,vvi
The,the,d
King,king,n1
is,be,vvz
almost,almost,av
wounded,wound,vvn
to,to,acp-p
the,the,d
death,death,n1
And,and,cc
in,in,acp-p
the,the,d
fortune,fortune,n1
of,of,acp-p
my,my,po
lord,lord,n1
your,your,po
son,son,n1
Prince,prince,n1
Harry,Harry,n1-nn
slain,slay,vvn
outright,outright,av_j
and,and,cc
both,both,d
the,the,d
Blunts,Blunt,n2-nn
Killed,kill,vvn
by,by,acp-p
the,the,d
hand,hand,n1
of,of,acp-p
Douglas,Douglas,n1-nn
young,young,j
Prince,prince,n1
John,John,n1-nn
And,and,cc
Westmoreland,Westmoreland,n1-nn
and,and,cc
Stafford,Stafford,n1-nn
fled,flee,vvd
the,the,d
field,field,n1
And,and,cc
Harry,Harry,n1-nn
Monmouth's,Monmouth,n1g-nn
brawn,brawn,n1
the,the,d
hulk,hulk,n1
Sir,sir,n1
John,John,n1-nn
Is,be,vvz
prisoner,prisoner,n1
to,to,acp-p
your,your,po
son,son,n1
O,oh,uh
such,such,d
a,a,d
day,day,n1
So,so,av
fought,fight,vvn
so,so,av
followed,follow,vvn
and,and,cc
so,so,av
fairly,fair,av_j
won,win,vvn
Came,come,vvd
not,not,xx
till,till,acp-p
now,now,av
to,to,acp-cs
dignify,dignify,vvi
the,the,d
times,time,n2
Since,since,acp-p
Caesar's,Caesar,n1g-nn
fortunes,fortune,n2
NORTHUMBERLAND,,
How,how,crq-q
is,be,vvz
this,this,d
derived,derive,vvn
Saw,see,vvd
you,you,pn
the,the,d
field,field,n1
Came,come,vvd
you,you,pn
from,from,acp-p
Shrewsbury,Shrewsbury,n1-nn
LORD,,
BARDOLPH,,
I,i,pns
spake,speak,vvd
with,with,acp-p
one,one,pi
my,my,po
lord,lord,n1
that,that,cs
came,come,vvd
from,from,acp-p
thence,thence,av
A,a,d
gentleman,gentleman,n1
well,well,av
bred,breed,vvn
and,and,cc
of,of,acp-p
good,good,j
name,name,n1
That,that,cs
freely,free,av_j
rendered,render,vvn
me,i,pno
these,these,d
news,news,n1
for,for,acp-p
true,true,j
Enter,,
Travers,,
NORTHUMBERLAND,,
Here,here,av
comes,come,vvz
my,my,po
servant,servant,n1
Travers,Travers,n1-nn
who,who,crq-r
I,i,pns
sent,send,vvd
On,on,acp-p
Tuesday,Tuesday,n1-nn
last,last,ord
to,to,acp-cs
listen,listen,vvi
after,after,acp-p
news,news,n1
LORD,,
BARDOLPH,,
My,my,po
lord,lord,n1
I,i,pns
overrode,override,vvd
him,he,pno
on,on,acp-p
the,the,d
way,way,n1
And,and,cc
he,he,pns
is,be,vvz
furnished,furnish,vvn
with,with,acp-p
no,no,d-x
certainties,certainty,n2
More,more,d-c
than,than,cs
he,he,pns
haply,haply,av
may,may,vmb
retail,retail,vvi
from,from,acp-p
me,i,pno
NORTHUMBERLAND,,
Now,now,av
Travers,Travers,n1-nn
what,what,crq-q
good,good,j
tidings,tiding,n2
comes,come,vvz
with,with,acp-p
you,you,pn
TRAVERS,,
My,my,po
lord,lord,n1
Sir,sir,n1
John,John,n1-nn
Umfrevile,Umfrevile,n1-nn
turned,turn,vvd
me,i,pno
back,back,av
With,with,acp-p
joyful,joyful,j
tidings,tiding,n2
and,and,cc
being,be,vvg
better,better,av-c_j
horsed,horse,vvn
Outrode,outride,vvd
me,i,pno
After,after,acp-p
him,he,pno
came,come,vvd
spurring,spur,vvg
hard,hard,av_j
A,a,d
gentleman,gentleman,n1
almost,almost,av
forspent,forspend,vvn
with,with,acp-p
speed,speed,n1
That,that,cs
stopped,stop,vvd
by,by,acp-p
me,i,pno
to,to,acp-cs
breathe,breathe,vvi
his,his,po
bloodied,bloody,j_vn
horse,horse,n1
He,he,pns
asked,ask,vvd
the,the,d
way,way,n1
to,to,acp-p
Chester,Chester,n1-nn
and,and,cc
of,of,acp-p
him,he,pno
I,i,pns
did,do,vvd
demand,demand,vvi
what,what,crq-r
news,news,n1
from,from,acp-p
Shrewsbury,Shrewsbury,n1-nn
He,he,pns
told,tell,vvd
me,i,pno
that,that,d
rebellion,rebellion,n1
had,have,vvd
bad,bad,j
luck,luck,n1
And,and,cc
that,that,cs
young,young,j
Harry,Harry,n1-nn
Percy's,Percy,n1g-nn
spur,spur,n1
was,be,vvd
cold,cold,j
With,with,acp-p
that,that,d
he,he,pns
gave,give,vvd
his,his,po
able,able,j
horse,horse,n1
the,the,d
head,head,n1
And,and,cc
bending,bend,vvg
forward,forward,av_j
struck,strike,vvd
his,his,po
armèd,arm,j_vn
heels,heel,n2
Against,against,acp-p
the,the,d
panting,pant,j_vg
sides,side,n2
of,of,acp-p
his,his,po
poor,poor,j
jade,jade,n1
Up,up,acp-p
to,to,acp-p
the,the,d
rowel-head,rowel-head,n1
and,and,cc
starting,start,j_vg
so,so,av
He,he,pns
seemed,seem,vvd
in,in,acp-p
running,run,vvg
to,to,acp-cs
devour,devour,vvi
the,the,d
way,way,n1
Staying,stay,vvg
no,no,d-x
longer,long,j-c
question,question,n1
NORTHUMBERLAND,,
Ha,ha,uh
Again,again,av
Said,say,vvd
he,he,pns
young,young,j
Harry,Harry,n1-nn
Percy's,Percy,n1g-nn
spur,spur,n1
was,be,vvd
cold,cold,j
Of,of,acp-p
Hotspur,Hotspur,n1-nn
Coldspur,Coldspur,n1-nn
That,that,d
rebellion,rebellion,n1
Had,have,vvd
met,meet,vvn
ill,ill,j
luck,luck,n1
LORD,,
BARDOLPH,,
My,my,po
lord,lord,n1
I'll,i|will,pns|vmb
tell,tell,vvi
you,you,pn
what,what,crq-q
If,if,cs
my,my,po
young,young,j
lord,lord,n1
your,your,po
son,son,n1
have,have,vvb
not,not,xx
the,the,d
day,day,n1
Upon,upon,acp-p
mine,my,po
honor,honour,n1
for,for,acp-p
a,a,d
silken,silken,j
point,point,n1
I'll,i|will,pns|vmb
give,give,vvi
my,my,po
barony,barony,n1
Never,never,av-x
talk,talk,vvi
of,of,acp-p
it,it,pn
NORTHUMBERLAND,,
Why,why,crq-q
should,shall,vmd
that,that,d
gentleman,gentleman,n1
that,that,cs
rode,ride,vvd
by,by,acp-p
Travers,Travers,n1-nn
Give,give,vvb
then,then,av
such,such,d
instances,instance,n2
of,of,acp-p
loss,loss,n1
LORD,,
BARDOLPH,,
Who,who,crq-q
he,he,pns
He,he,pns
was,be,vvd
some,some,d
hilding,hilding,n1
fellow,fellow,n1
that,that,cs
had,have,vvd
stol'n,steal,vvn
The,the,d
horse,horse,n1
he,he,pns
rode,ride,vvd
on,on,acp-av
and,and,cc
upon,upon,acp-p
my,my,po
life,life,n1
Spoke,speak,vvd
at,at,acp-p
a,a,d
venture,venture,n1
Enter,,
Morton,,
Look,look,vvb
here,here,av
comes,come,vvz
more,more,d-c
news,news,n1
NORTHUMBERLAND,,
Yea,yea,uh
this,this,d
man's,man,n1g
brow,brow,n1
like,like,acp-p
to,to,acp-p
a,a,d
title,title,n1
leaf,leaf,n1
Foretells,foretell,vvz
the,the,d
nature,nature,n1
of,of,acp-p
a,a,d
tragic,tragic,j
volume,volume,n1
So,so,av
looks,look,vvz
the,the,d
strand,strand,n1
whereon,whereon,crq-cs
the,the,d
imperious,imperious,j
flood,flood,n1
Hath,have,vvz
left,leave,vvn
a,a,d
witnessed,witness,vvn
usurpation,usurpation,n1
Say,say,vvb
Morton,Morton,n1-nn
didst,do,vvd2
thou,thou,pns
come,come,vvi
from,from,acp-p
Shrewsbury,Shrewsbury,n1-nn
MORTON,,
I,i,pns
ran,run,vvd
from,from,acp-p
Shrewsbury,Shrewsbury,n1-nn
my,my,po
noble,noble,j
lord,lord,n1
Where,where,crq-cs
hateful,hateful,j
death,death,n1
put,put,vvd
on,on,acp-p
his,his,po
ugliest,ugly,j-s
mask,mask,n1
To,to,acp-p
fright,fright,vvi
our,our,po
party,party,n1
NORTHUMBERLAND,,
How,how,crq-q
doth,do,vvz
my,my,po
son,son,n1
and,and,cc
brother,brother,n1
Thou,thou,pns
tremblest,tremble,vv2
and,and,cc
the,the,d
whiteness,whiteness,n1
in,in,acp-p
thy,thy,po
cheek,cheek,n1
Is,be,vvz
apter,apt,j-c
than,than,cs
thy,thy,po
tongue,tongue,n1
to,to,acp-cs
tell,tell,vvi
thy,thy,po
errand,errand,n1
Even,even,av
such,such,d
a,a,d
man,man,n1
so,so,av
faint,faint,j
so,so,av
spiritless,spiritless,j
So,so,av
dull,dull,j
so,so,av
dead,dead,j
in,in,acp-p
look,look,n1
so,so,av
woebegone,woe-begone,j
Drew,draw,vvd
Priam's,Priam,n1g-nn
curtain,curtain,n1
in,in,acp-p
the,the,d
dead,dead,j
of,of,acp-p
night,night,n1
And,and,cc
would,will,vmd
have,have,vvi
told,tell,vvn
him,he,pno
half,half,j
his,his,po
Troy,Troy,n1-nn
was,be,vvd
burnt,burn,vvn
But,but,acp-cc
Priam,Priam,n1-nn
found,find,vvd
the,the,d
fire,fire,n1
ere,ere,acp-cs
he,he,pns
his,his,po
tongue,tongue,n1
And,and,cc
I,i,pns
my,my,po
Percy's,Percy,n1g-nn
death,death,n1
ere,ere,acp-cs
thou,thou,pns
report'st,report,vv2
it,it,pn
This,this,d
thou,thou,pns
wouldst,will,vmd2
say,say,vvi
Your,your,po
son,son,n1
did,do,vvd
thus,thus,av
and,and,cc
thus,thus,av
Your,your,po
brother,brother,n1
thus,thus,av
so,so,av
fought,fight,vvd
the,the,d
noble,noble,j
Douglas,Douglas,n1-nn
Stopping,stop,vvg
my,my,po
greedy,greedy,j
ear,ear,n1
with,with,acp-p
their,their,po
bold,bold,j
deeds,deed,n2
But,but,acp-cc
in,in,acp-p
the,the,d
end,end,n1
to,to,acp-cs
stop,stop,vvi
my,my,po
ear,ear,n1
indeed,indeed,av
Thou,thou,pns
hast,have,vv2
a,a,d
sigh,sigh,n1
to,to,acp-cs
blow,blow,vvi
away,away,av
this,this,d
praise,praise,n1
Ending,end,vvg
with,with,acp-p
Brother,brother,n1
son,son,n1
and,and,cc
all,all,d
are,be,vvb
dead,dead,j
MORTON,,
Douglas,Douglas,n1-nn
is,be,vvz
living,live,vvg
and,and,cc
your,your,po
brother,brother,n1
yet,yet,av
But,but,acp-cc
for,for,acp-p
my,my,po
lord,lord,n1
your,your,po
son,son,n1
NORTHUMBERLAND,,
Why,why,crq-cs
he,he,pns
is,be,vvz
dead,dead,j
See,see,vvb
what,what,crq-q
a,a,d
ready,ready,j
tongue,tongue,n1
suspicion,suspicion,n1
hath,have,vvz
He,he,pns
that,that,cs
but,but,acp-av
fears,fear,vvz
the,the,d
thing,thing,n1
he,he,pns
would,will,vmd
not,not,xx
know,know,vvi
Hath,have,vvz
by,by,acp-p
instinct,instinct,n1
knowledge,knowledge,n1
from,from,acp-p
others',other,pi2g_d
eyes,eye,n2
That,that,cs
what,what,crq-r
he,he,pns
feared,fear,vvd
is,be,vvz
chancèd,chance,vvn
Yet,yet,av
speak,speak,vvb
Morton,Morton,n1-nn
Tell,tell,vvb
thou,thou,pns
an,a,d
earl,earl,n1
his,his,po
divination,divination,n1
lies,lie,vvz
And,and,cc
I,i,pns
will,will,vmb
take,take,vvi
it,it,pn
as,as,acp-p
a,a,d
sweet,sweet,j
disgrace,disgrace,n1
And,and,cc
make,make,vvb
thee,thou,pno
rich,rich,j
for,for,acp-p
doing,do,vvg
me,i,pno
such,such,d
wrong,wrong,j
MORTON,,
You,you,pn
are,be,vvb
too,too,av
great,great,j
to,to,acp-cs
be,be,vvi
by,by,acp-p
me,i,pno
gainsaid,gainsay,vvn
Your,your,po
spirit,spirit,n1
is,be,vvz
too,too,av
true,true,j
your,your,po
fears,fear,n2
too,too,av
certain,certain,j
NORTHUMBERLAND,,
Yet,yet,av
for,for,acp-p
all,all,d
this,this,d
say,say,vvb
not,not,xx
that,that,cs
Percy's,Percy|be,n1-nn|vvz
dead,dead,j
I,i,pns
see,see,vvb
a,a,d
strange,strange,j
confession,confession,n1
in,in,acp-p
thine,thy,po
eye,eye,n1
Thou,thou,pns
shak'st,shake,vv2
thy,thy,po
head,head,n1
and,and,cc
hold'st,hold,vv2
it,it,pn
fear,fear,n1
or,or,cc
sin,sin,n1
To,to,acp-cs
speak,speak,vvi
a,a,d
truth,truth,n1
If,if,cs
he,he,pns
be,be,vvb
slain,slay,vvn
say,say,vvb
so,so,av
The,the,d
tongue,tongue,n1
offends,offend,vvz
not,not,xx
that,that,cs
reports,report,vvz
his,his,po
death,death,n1
And,and,cc
he,he,pns
doth,do,vvz
sin,sin,vvi
that,that,cs
doth,do,vvz
belie,belie,vvi
the,the,d
dead,dead,j
Not,not,xx
he,he,pns
which,which,crq-r
says,say,vvz
the,the,d
dead,dead,j
is,be,vvz
not,not,xx
alive,alive,j
Yet,yet,av
the,the,d
first,first,ord
bringer,bringer,n1
of,of,acp-p
unwelcome,unwelcome,j
news,news,n1
Hath,have,vvz
but,but,acp-av
a,a,d
losing,lose,j_vg
office,office,n1
and,and,cc
his,his,po
tongue,tongue,n1
Sounds,sound,vvz
ever,ever,av
after,after,acp-av
as,as,acp-p
a,a,d
sullen,sullen,j
bell,bell,n1
Remembered,remember,vvn
tolling,toll,vvg
a,a,d
departing,depart,j_vg
friend,friend,n1
LORD,,
BARDOLPH,,
I,i,pns
cannot,can,vmb-x
think,think,vvi
my,my,po
lord,lord,n1
your,your,po
son,son,n1
is,be,vvz
dead,dead,j
MORTON,,
to,,
Northumberland,,
I,i,pns
am,be,vvm
sorry,sorry,j
I,i,pns
should,shall,vmd
force,force,vvi
you,you,pn
to,to,acp-cs
believe,believe,vvi
That,that,d
which,which,crq-r
I,i,pns
would,will,vmd
to,to,acp-p
God,God,n1-nn
I,i,pns
had,have,vvd
not,not,xx
seen,see,vvn
But,but,acp-cc
these,these,d
mine,my,po
eyes,eye,n2
saw,see,vvd
him,he,pno
in,in,acp-p
bloody,bloody,j
state,state,n1
Rend'ring,render,vvg
faint,faint,j
quittance,quittance,n1
wearied,weary,vvn
and,and,cc
outbreathed,outbreathe,vvn
To,to,acp-p
Harry,Harry,n1-nn
Monmouth,Monmouth,n1-nn
whose,who,crq-rg
swift,swift,j
wrath,wrath,n1
beat,beat,vvd
down,down,acp-av
The,the,d
never-daunted,never-daunted,j
Percy,Percy,n1-nn
to,to,acp-p
the,the,d
earth,earth,n1
From,from,acp-p
whence,whence,crq-cs
with,with,acp-p
life,life,n1
he,he,pns
never,never,av-x
more,more,av-c_d
sprung,spring,vvd
up,up,acp-av
In,in,acp-p
few,few,d
his,his,po
death,death,n1
whose,who,crq-rg
spirit,spirit,n1
lent,lend,vvd
a,a,d
fire,fire,n1
Even,even,av
to,to,acp-p
the,the,d
dullest,dull,j-s
peasant,peasant,n1
in,in,acp-p
his,his,po
camp,camp,n1
Being,be,vvg
bruited,bruit,vvn
once,once,acp-av
took,take,vvd
fire,fire,n1
and,and,cc
heat,heat,n1
away,away,av
From,from,acp-p
the,the,d
best-tempered,best-tempered,j-s
courage,courage,n1
in,in,acp-p
his,his,po
troops,troop,n2
For,for,acp-p
from,from,acp-p
his,his,po
mettle,mettle,n1
was,be,vvd
his,his,po
party,party,n1
steeled,steel,vvn
Which,which,crq-r
once,once,acp-av
in,in,acp-p
him,he,pno
abated,abate,vvn
all,all,d
the,the,d
rest,rest,n1
Turned,turn,vvn
on,on,acp-p
themselves,themselves,px
like,like,acp-p
dull,dull,j
and,and,cc
heavy,heavy,j
lead,lead,n1
And,and,cc
as,as,acp-cs
the,the,d
thing,thing,n1
that's,that|be,cs|vvz
heavy,heavy,j
in,in,acp-p
itself,itself,px
Upon,upon,acp-p
enforcement,enforcement,n1
flies,fly,vvz
with,with,acp-p
greatest,great,j-s
speed,speed,n1
So,so,av
did,do,vvd
our,our,po
men,man,n2
heavy,heavy,j
in,in,acp-p
Hotspur's,Hotspur,n1g-nn
loss,loss,n1
Lend,lend,vvb
to,to,acp-p
this,this,d
weight,weight,n1
such,such,d
lightness,lightness,n1
with,with,acp-p
their,their,po
fear,fear,n1
That,that,cs
arrows,arrow,n2
fled,flee,vvd
not,not,xx
swifter,swift,j-c
toward,towards,acp-p
their,their,po
aim,aim,n1
Than,than,cs
did,do,vvd
our,our,po
soldiers,soldier,n2
aiming,aim,vvg
at,at,acp-p
their,their,po
safety,safety,n1
Fly,fly,vvb
from,from,acp-p
the,the,d
field,field,n1
Then,then,av
was,be,vvd
that,that,d
noble,noble,j
Worcester,Worcester,n1-nn
So,so,av
soon,soon,av
ta'en,take,vvn
prisoner,prisoner,n1
and,and,cc
that,that,d
furious,furious,j
Scot,Scot,n1-nn
The,the,d
bloody,bloody,j
Douglas,Douglas,n1-nn
whose,who,crq-rg
well-laboring,well-labouring,j
sword,sword,n1
Had,have,vvd
three,three,crd
times,time,n2
slain,slay,vvn
th',the,d
appearance,appearance,n1
of,of,acp-p
the,the,d
King,king,n1
Gan,begin,vvd
vail,vail,vvi
his,his,po
stomach,stomach,n1
and,and,cc
did,do,vvd
grace,grace,vvi
the,the,d
shame,shame,n1
Of,of,acp-p
those,those,d
that,that,cs
turned,turn,vvd
their,their,po
backs,back,n2
and,and,cc
in,in,acp-p
his,his,po
flight,flight,n1
Stumbling,stumble,vvg
in,in,acp-p
fear,fear,n1
was,be,vvd
took,take,vvn
The,the,d
sum,sum,n1
of,of,acp-p
all,all,d
Is,be,vvz
that,that,cs
the,the,d
King,king,n1
hath,have,vvz
won,win,vvn
and,and,cc
hath,have,vvz
sent,send,vvn
out,out,av
A,a,d
speedy,speedy,j
power,power,n1
to,to,acp-cs
encounter,encounter,vvi
you,you,pn
my,my,po
lord,lord,n1
Under,under,acp-p
the,the,d
conduct,conduct,n1
of,of,acp-p
young,young,j
Lancaster,Lancaster,n1-nn
And,and,cc
Westmoreland,Westmoreland,n1-nn
This,this,d
is,be,vvz
the,the,d
news,news,n1
at,at,acp-p
full,full,j
NORTHUMBERLAND,,
For,for,acp-p
this,this,d
I,i,pns
shall,shall,vmb
have,have,vvi
time,time,n1
enough,enough,av_d
to,to,acp-cs
mourn,mourn,vvi
In,in,acp-p
poison,poison,n1
there,there,acp-av
is,be,vvz
physic,physic,n1
and,and,cc
these,these,d
news,news,n1
Having,have,vvg
been,be,vvn
well,well,av
that,that,d
would,will,vmd
have,have,vvi
made,make,vvn
me,i,pno
sick,sick,j
Being,be,vvg
sick,sick,j
have,have,vvb
in,in,acp-p
some,some,d
measure,measure,n1
made,make,vvn
me,i,pno
well,well,av
And,and,cc
as,as,acp-cs
the,the,d
wretch,wretch,n1
whose,who,crq-rg
fever-weakened,fever-weakened,j
joints,joint,n2
Like,like,acp-p
strengthless,strengthless,j
hinges,hinge,n2
buckle,buckle,vvb
under,under,acp-p
life,life,n1
Impatient,impatient,j
of,of,acp-p
his,his,po
fit,fit,n1
breaks,break,vvz
like,like,acp-p
a,a,d
fire,fire,n1
Out,out,av
of,of,acp-p
his,his,po
keeper's,keeper,n1g
arms,arm,n2
even,even,av
so,so,av
my,my,po
limbs,limb,n2
Weakened,weaken,vvn
with,with,acp-p
grief,grief,n1
being,be,vvg
now,now,av
enraged,enrage,vvn
with,with,acp-p
grief,grief,n1
Are,be,vvb
thrice,thrice,av
themselves,themselves,px
Hence,hence,av
therefore,therefore,av
thou,thou,pns
nice,nice,j
crutch,crutch,n1
He,,
throws,,
down,,
his,,
crutch,,
A,a,d
scaly,scaly,j
gauntlet,gauntlet,n1
now,now,av
with,with,acp-p
joints,joint,n2
of,of,acp-p
steel,steel,n1
Must,must,vmb
glove,glove,n1
this,this,d
hand,hand,n1
And,and,cc
hence,hence,av
thou,thou,pns
sickly,sickly,j
coif,coif,n1
He,,
removes,,
his,,
kerchief,,
Thou,thou,pns
art,be,vv2
a,a,d
guard,guard,n1
too,too,av
wanton,wanton,j
for,for,acp-p
the,the,d
head,head,n1
Which,which,crq-r
princes,prince,n2
fleshed,flesh,vvn
with,with,acp-p
conquest,conquest,n1
aim,aim,vvb
